2026-01-30 11:40:58,149 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 8, "timestamp": "2026-01-30T08:40:58.148649+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:49:20,779 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 19, "timestamp": "2026-01-30T08:49:20.779663+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-05 19:17:30,082 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": null, "username": "anonymous", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 96, "timestamp": "2026-02-05T16:17:30.071442+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-05 19:17:58,546 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 49, "timestamp": "2026-02-05T16:17:58.546652+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-05 19:18:25,740 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/api", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 7, "timestamp": "2026-02-05T16:18:25.739063+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-05 19:19:02,834 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 11, "timestamp": "2026-02-05T16:19:02.834723+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-05 20:20:03,446 | WARNING | backup_manager | Не удалось записать начало бэкапа в backup_log: no such table: backup_log | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:447
2026-02-05 20:20:03,601 | WARNING | backup_manager | Не удалось записать успешный бэкап в backup_log: no such table: backup_log | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:464
2026-02-05 20:20:03,601 | INFO | backup_manager | Полная резервная копия создана: D:\CursachV2\backups\full_backup_20260205_202003.tar.gz | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:58
2026-02-06 11:18:28,184 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 55, "timestamp": "2026-02-06T08:18:28.184139+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:18:36,481 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/listing/2/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 63, "timestamp": "2026-02-06T08:18:36.481287+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:18:44,144 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/listing/1/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 36, "timestamp": "2026-02-06T08:18:44.144809+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:18:49,670 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/listing/1/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 38, "timestamp": "2026-02-06T08:18:49.670435+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:20:13,044 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 5, "timestamp": "2026-02-06T08:20:13.044691+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:23:58,427 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 17, "timestamp": "2026-02-06T08:23:58.427344+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:25:02,321 | INFO | backup_manager | Начало восстановления из backups\full_backup_YYYYMMDD_HHMMSS.tar.gz | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:118
2026-02-06 11:25:02,321 | ERROR | backup_manager | Ошибка восстановления: [Errno 2] No such file or directory: 'backups\\full_backup_YYYYMMDD_HHMMSS.tar.gz' | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:145
2026-02-06 11:25:35,605 | INFO | backup_manager | Начало восстановления из backups\full_backup_20260205_202003.tar.gz | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:118
2026-02-06 11:25:35,627 | ERROR | backup_manager | Ошибка восстановления: TarFile is closed | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:145
2026-02-06 11:26:32,610 | INFO | backup_manager | Начало восстановления из backups\full_backup_20260205_202003.tar.gz | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:118
2026-02-06 11:26:32,638 | INFO | backup_manager | Восстановление завершено успешно | D:\CursachV2\chepochem_app\management\commands\backup_manager.py:141
2026-02-06 11:26:44,689 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 14, "timestamp": "2026-02-06T08:26:44.689839+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
